iter	Passed	Remaining
618	1310	806
619	1312	804
620	1313	801
621	1315	799
622	1317	796
623	1318	794
624	1320	792
625	1322	790
626	1324	787
627	1325	785
628	1327	783
629	1329	780
630	1330	778
631	1332	775
632	1334	773
633	1335	770
634	1337	768
635	1338	766
636	1340	763
637	1341	761
638	1342	758
639	1344	756
640	1346	754
641	1347	751
642	1348	748
643	1350	746
644	1352	744
645	1353	741
646	1354	738
647	1356	736
648	1357	734
649	1358	731
650	1359	729
651	1361	726
652	1363	724
653	1364	721
654	1365	719
655	1367	717
656	1369	714
657	1370	712
658	1371	709
659	1373	707
660	1374	704
661	1376	702
662	1377	700
663	1378	697
664	1380	695
665	1381	692
666	1383	690
667	1384	688
668	1386	686
669	1388	684
670	1390	681
671	1391	679
672	1393	677
673	1395	674
674	1396	672
675	1398	670
676	1400	668
677	1402	666
678	1404	663
679	1405	661
680	1407	659
681	1408	656
682	1410	654
683	1411	652
684	1413	649
685	1414	647
686	1416	645
687	1417	642
688	1418	640
689	1420	638
690	1421	635
691	1424	633
692	1425	631
693	1428	629
694	1429	627
695	1431	625
696	1432	622
697	1434	620
698	1435	618
699	1437	615
700	1438	613
701	1440	611
702	1442	609
703	1443	606
704	1444	604
705	1447	602
706	1449	600
707	1450	598
708	1451	595
709	1452	593
710	1454	591
711	1455	588
712	1456	586
713	1458	584
714	1459	581
715	1460	579
716	1462	577
717	1463	574
718	1465	572
719	1467	570
720	1468	568
721	1470	566
722	1471	563
723	1472	561
724	1473	558
725	1474	556
726	1476	554
727	1477	552
728	1479	549
729	1480	547
730	1482	545
731	1485	543
732	1487	541
733	1489	539
734	1490	537
735	1492	535
736	1493	533
737	1495	530
738	1496	528
739	1498	526
740	1499	524
741	1502	522
742	1504	520
743	1506	518
744	1508	516
745	1509	514
746	1511	511
747	1512	509
748	1514	507
749	1515	505
750	1517	503
751	1518	500
752	1520	498
753	1521	496
754	1522	494
755	1523	491
756	1525	489
757	1527	487
758	1528	485
759	1529	483
760	1531	480
761	1532	478
762	1533	476
763	1535	474
764	1536	472
765	1538	469
766	1539	467
767	1540	465
768	1542	463
769	1544	461
770	1545	458
771	1546	456
772	1547	454
773	1549	452
774	1550	450
775	1551	447
776	1553	445
777	1568	447
778	1570	445
779	1571	443
